city,policy_id,role,parent_statement,parent_row_type,policy_statement,primary_category,secondary_categories,typology_code,trace_path
Austin,2,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,"Enhance resident and building owner understanding of energy savings and climate impacts through outreach, culturally relevant communications, expanded benchmarking requirements, and better access to energy and water data.",Mitigation,Resource Efficiency,M-1,policy_traces/002_Enhance_resident_and_building_owner_understanding_of_energy_.json
Austin,3,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,"Achieve net-zero carbon buildings through new energy codes, amendments, incentives, education, and collaboration with utilities to decarbonize new and existing buildings.",Mitigation,,,policy_traces/003_Achieve_net_zero_carbon_buildings_through_new_energy_codes_a.json
Austin,4,sub,"By 2030, achieve net-zero carbon for all new buildings, reduce emissions by 25% for existing buildings, and lower all natural gas-related emissions by 30%.",standalone parent policy,Prioritize local emissions reduction investment and create equitable workforce development and training opportunities for emerging building technologies through partnerships serving low-income communities and communities of color.,Mitigation,Nature-Based Solutions,M-3,policy_traces/004_Prioritize_local_emissions_reduction_investment_and_create_e.json
Austin,5,parent,,standalone parent policy,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",Mitigation,Nature-Based Solutions,M-3,policy_traces/005_By_2030_reduce_community_wide_greenhouse_gas_emissions_from_.json
Austin,6,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,Develop a refrigerant destruction program that prices older high-ozone-depleting and high-global-warming-potential refrigerants to increase capture and safe destruction.,Mitigation,Nature-Based Solutions,M-3,policy_traces/006_Develop_a_refrigerant_destruction_program_that_prices_older_.json
Austin,7,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,Follow revised building code developments and move forward with local code amendments and actions to encourage low- and no-GWP refrigerants as soon as feasible.,Mitigation,Nature-Based Solutions,M-3,policy_traces/007_Follow_revised_building_code_developments_and_move_forward_w.json
Austin,8,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Partner with commercial refrigeration and HVAC stakeholders to create incentives for refrigerant leak detection, prevention, and repair.",Mitigation,Nature-Based Solutions,M-3,policy_traces/008_Partner_with_commercial_refrigeration_and_HVAC_stakeholders_.json
Austin,9,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Create an awareness, education, and training campaign for HVAC providers and building stakeholders on refrigerant management and leak prevention, detection, and repair.",Mitigation,Nature-Based Solutions,M-3,policy_traces/009_Create_an_awareness_education_and_training_campaign_for_HVAC.json
Austin,10,sub,"By 2030, reduce community-wide greenhouse gas emissions from refrigerant leakage by 25%.",standalone parent policy,"Reduce and prevent refrigerant use to the extent possible, especially refrigerants with high global warming potential.",Mitigation,Nature-Based Solutions,M-3,policy_traces/010_Reduce_and_prevent_refrigerant_use_to_the_extent_possible_es.json
Austin,11,parent,,standalone parent policy,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",Mitigation,Nature-Based Solutions,M-3,policy_traces/011_By_2030_reduce_the_embodied_carbon_footprint_of_building_mat.json
Austin,12,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Develop City of Austin design and construction specifications and purchasing agreements for healthy, low-carbon buildings in partnership with other cities and states.",Mitigation,Nature-Based Solutions,M-3,policy_traces/012_Develop_City_of_Austin_design_and_construction_specification.json
Austin,13,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,Enhance and integrate lower-carbon building materials and deconstruction practices into city incentive programs and transition voluntary guidance into development agreements over time.,Mitigation,Nature-Based Solutions,M-3,policy_traces/013_Enhance_and_integrate_lower_carbon_building_materials_and_de.json
Austin,14,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Create a performance framework and educational programming to reduce the lifecycle and health impacts of building materials and construction practices, focusing on low-income communities and communities of color.",Mitigation,Resource Efficiency,M-1,policy_traces/014_Create_a_performance_framework_and_educational_programming_t.json
Austin,15,sub,"By 2030, reduce the embodied carbon footprint of building materials used in local construction by 40% from a 2020 baseline.",standalone parent policy,"Prioritize partnerships in local materials markets to decarbonize high-impact building materials such as glass, steel, aluminum, concrete, drywall, insulation, and carpet.",Mitigation,Nature-Based Solutions,M-3,policy_traces/015_Prioritize_partnerships_in_local_materials_markets_to_decarb.json
Austin,16,parent,,standalone parent policy,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",Resource Efficiency,Adaptation,RE-2,policy_traces/016_By_2030_equitably_achieve_a_community_wide_water_demand_of_a.json
Austin,17,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Enhance community engagement and partnerships to advance equity through Water Forward strategies, including advanced metering, incentives, and ordinances.",Resource Efficiency,Mitigation,RE-1,policy_traces/017_Enhance_community_engagement_and_partnerships_to_advance_equ.json
Austin,18,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Evaluate water conservation, customer assistance, and workforce development program criteria to address structural barriers to participation and expand enrollment for low-income customers.",Resource Efficiency,,,policy_traces/018_Evaluate_water_conservation_customer_assistance_and_workforc.json
Austin,19,sub,"By 2030, equitably achieve a community-wide water demand of approximately 152,000 acre-feet per year by implementing Water Forward strategies.",standalone parent policy,"Assess links between water demand reduction and energy consumption, and pursue synergistic water conservation and energy management efforts through programs and partnerships.",Mitigation,Resource Efficiency,M-1,policy_traces/019_Assess_links_between_water_demand_reduction_and_energy_consu.json
Austin,20,parent,,standalone parent policy,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",Mitigation,Nature-Based Solutions,M-3,policy_traces/020_By_2030_ensure_80_of_new_non_residential_development_is_loca.json
Austin,21,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,"Adopt Complete Communities plans that reverse historical racist impacts, address displacement, and preserve neighborhoods in communities of color.",Mitigation,Adaptation,M-2,policy_traces/021_Adopt_Complete_Communities_plans_that_reverse_historical_rac.json
Austin,22,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Work with medium and large employers to locate business sites in growth centers and along corridors.,Mitigation,Nature-Based Solutions,M-3,policy_traces/022_Work_with_medium_and_large_employers_to_locate_business_site.json
Austin,23,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Create community mobility hubs adjacent to transit stops that offer first- and last-mile mobility options and a complete trip experience.,Mitigation,Nature-Based Solutions,M-3,policy_traces/023_Create_community_mobility_hubs_adjacent_to_transit_stops_tha.json
Austin,24,sub,"By 2030, ensure 80% of new non-residential development is located within the city's activity centers and corridors.",standalone parent policy,Phase out free employee parking at city facilities and other large employers near the transit priority network and replace it with commuter benefit options.,Mitigation,Nature-Based Solutions,M-3,policy_traces/024_Phase_out_free_employee_parking_at_city_facilities_and_other.json
Austin,25,parent,,standalone parent policy,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",Mitigation,Adaptation,M-2,policy_traces/025_By_2027_preserve_and_produce_135000_housing_units_including_.json
Austin,26,sub,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",standalone parent policy,"Engage directly with communities vulnerable to displacement, connect them with services, and proactively monitor at-risk affordable housing properties to extend affordability.",Adaptation,Resource Efficiency,A-2,policy_traces/026_Engage_directly_with_communities_vulnerable_to_displacement_.json
Austin,27,sub,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",standalone parent policy,Increase funding for the city's Housing Trust Fund and support capacity building for community development corporations.,Adaptation,Mitigation,A-3,policy_traces/027_Increase_funding_for_the_citys_Housing_Trust_Fund_and_suppor.json
Austin,28,sub,"By 2027, preserve and produce 135,000 housing units, including 60,000 affordable units, with 75% of new housing within half a mile of activity centers and corridors.",standalone parent policy,"Include low-income communities, communities of color, and people with disabilities in housing review and anti-displacement program design, with culturally relevant outreach for subsidized units in gentrifying areas.",Adaptation,Resource Efficiency,A-2,policy_traces/028_Include_low_income_communities_communities_of_color_and_peop.json
Austin,29,parent,,standalone parent policy,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",Mitigation,Adaptation,M-2,policy_traces/029_By_2030_ensure_50_of_trips_in_Austin_are_made_by_public_tran.json
Austin,30,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,Work with the Austin Transit Partnership to implement Project Connect and expand and improve public transportation services.,Mitigation,Nature-Based Solutions,M-3,policy_traces/030_Work_with_the_Austin_Transit_Partnership_to_implement_Projec.json
Austin,31,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,"Create comprehensive, user-friendly resources connecting community members with free transportation options, including expanded free transit access.",Mitigation,Adaptation,M-2,policy_traces/031_Create_comprehensive_user_friendly_resources_connecting_comm.json
Austin,32,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,"Partner to improve transit stops, stations, and access to these facilities with engagement from low-income communities, communities of color, and people with disabilities.",Mitigation,Adaptation,M-2,policy_traces/032_Partner_to_improve_transit_stops_stations_and_access_to_thes.json
Austin,33,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,"Implement Proposition B transportation infrastructure for bikeways, sidewalks, trails, safety, safe routes to school, and substandard streets in low-income communities and communities of color through meaningful engagement.",Mitigation,Nature-Based Solutions,M-3,policy_traces/033_Implement_Proposition_B_transportation_infrastructure_for_bi.json
Austin,34,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,Provide free or reduced-price bicycles and bicycle training for communities of color and train police officers on bicycle laws and racial profiling.,Mitigation,Nature-Based Solutions,M-3,policy_traces/034_Provide_free_or_reduced_price_bicycles_and_bicycle_training_.json
Austin,35,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,Update the city's Sidewalk Plan and Urban Trails Plan with an emphasis on equity and meaningful community engagement.,Mitigation,Nature-Based Solutions,M-3,policy_traces/035_Update_the_citys_Sidewalk_Plan_and_Urban_Trails_Plan_with_an.json
Austin,36,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,"Actively promote remote work, telework, and flexible commute policies to maintain and further reduce single-occupancy vehicle trips.",Mitigation,,,policy_traces/036_Actively_promote_remote_work_telework_and_flexible_commute_p.json
Austin,37,sub,"By 2030, ensure 50% of trips in Austin are made by public transit, biking, walking, carpooling, or avoided through working from home.",standalone parent policy,"Implement City of Austin telework policies aligned with transportation mode-shift goals, including encouraging no less than 85% of eligible City employees to participate in telework and contributing toward 15% of Austin residents working from home by 2039.",Mitigation,Nature-Based Solutions,M-3,policy_traces/037_Implement_City_of_Austin_telework_policies_aligned_with_tran.json
Austin,38,parent,,standalone parent policy,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",Mitigation,Adaptation,M-2,policy_traces/038_By_2030_electrify_40_of_total_vehicle_miles_traveled_in_Aust.json
Austin,39,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,"Complete an Electric Vehicle Community Needs Assessment to identify mobility, electrification, and justice needs and inform an EV adoption growth plan.",Mitigation,Adaptation,M-2,policy_traces/039_Complete_an_Electric_Vehicle_Community_Needs_Assessment_to_i.json
Austin,40,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,"Collaborate with community partners to create inclusive, accessible incentives for buying or leasing electric vehicles, prioritizing low-income communities, communities of color, and areas with limited transit access.",Mitigation,Nature-Based Solutions,M-3,policy_traces/040_Collaborate_with_community_partners_to_create_inclusive_acce.json
Austin,41,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,Partner with mobility authorities to offer reduced or eliminated toll rates for low-income communities and communities of color who drive EVs from the Eastern Crescent to central Austin.,Mitigation,Nature-Based Solutions,M-3,policy_traces/041_Partner_with_mobility_authorities_to_offer_reduced_or_elimin.json
Austin,42,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,Create an electric bike and car-sharing program centered on low-income communities and communities of color to provide low-cost zero-emissions mobility.,Mitigation,Adaptation,M-2,policy_traces/042_Create_an_electric_bike_and_car_sharing_program_centered_on_.json
Austin,43,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,"Encourage public sector fleets in the Austin-Round Rock-San Marcos region to commit to buying 100% electric vehicles when available, cost-competitive, and operationally suitable.",Mitigation,Adaptation,M-2,policy_traces/043_Encourage_public_sector_fleets_in_the_Austin_Round_Rock_San_.json
Austin,44,sub,"By 2030, electrify 40% of total vehicle miles traveled in Austin and ensure electric vehicle ownership is culturally, geographically, and economically diverse.",standalone parent policy,"By 2030, transition 100% of gig, rideshare, public health, and delivery vehicle fleets to electric, beginning with private fleets in the Eastern Crescent using pilots, support, regulation, incentives, and education.",Mitigation,Adaptation,M-2,policy_traces/044_By_2030_transition_100_of_gig_rideshare_public_health_and_de.json
Austin,45,parent,,standalone parent policy,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",Mitigation,Nature-Based Solutions,M-3,policy_traces/045_By_2030_develop_an_equitably_distributed_mix_of_level_1_leve.json
Austin,46,sub,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",standalone parent policy,"Continue to incentivize EV charging installation by the city, businesses, manufacturers, and third parties to create a low-cost, reliable network accessible to all.",Mitigation,Nature-Based Solutions,M-3,policy_traces/046_Continue_to_incentivize_EV_charging_installation_by_the_city.json
Austin,47,sub,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",standalone parent policy,"By 2030, build a network of intelligent charging that supports grid reliability, resilience, efficiency, lower emissions, accessibility, and lower costs, and incentivize internet-connected charging infrastructure.",Mitigation,Adaptation,M-2,policy_traces/047_By_2030_build_a_network_of_intelligent_charging_that_support.json
Austin,48,sub,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",standalone parent policy,Adopt new energy and building codes that address future EV charging needs and lower barriers to installing charging infrastructure more equitably.,Mitigation,,,policy_traces/048_Adopt_new_energy_and_building_codes_that_address_future_EV_c.json
Austin,49,sub,"By 2030, develop an equitably distributed mix of level 1, level 2, and DC fast charging infrastructure sufficient to accommodate 40% of total vehicle miles traveled in the city.",standalone parent policy,"Expand culturally competent outreach on EV charging incentives and installation to community groups, professional organizations, unions, and property managers.",Mitigation,Nature-Based Solutions,M-3,policy_traces/049_Expand_culturally_competent_outreach_on_EV_charging_incentiv.json
Austin,50,parent,,standalone parent policy,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,Mitigation,Nature-Based Solutions,M-3,policy_traces/050_Make_the_Austin_Round_Rock_San_Marcos_area_a_leader_in_trans.json
Austin,51,sub,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,standalone parent policy,"The city will lead creation of a regional coalition of government, business, and community stakeholders to support EV adoption in the five-county metropolitan area.",Mitigation,Nature-Based Solutions,M-3,policy_traces/051_The_city_will_lead_creation_of_a_regional_coalition_of_gover.json
Austin,52,sub,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,standalone parent policy,Austin will continue to pilot and early-adopt emerging transportation electrification technologies and ensure low-income communities and communities of color access the benefits first.,Mitigation,Adaptation,M-2,policy_traces/052_Austin_will_continue_to_pilot_and_early_adopt_emerging_trans.json
Austin,53,sub,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,standalone parent policy,Austin will lead a just transition to an electrified regional transportation system by collaborating with workforce and community groups to position low-income communities and communities of color to benefit.,Mitigation,Adaptation,M-2,policy_traces/053_Austin_will_lead_a_just_transition_to_an_electrified_regiona.json
Austin,54,sub,Make the Austin-Round Rock-San Marcos area a leader in transportation electrification by adopting policies and technologies that maximize economic and health benefits while supporting industry growth.,standalone parent policy,Create a robust electric transportation economic cluster in Central Texas by supporting new and existing local EV supply-chain companies.,Mitigation,Adaptation,M-2,policy_traces/054_Create_a_robust_electric_transportation_economic_cluster_in_.json
Austin,55,parent,,standalone parent policy,"By 2030, ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, supports dietary agency, promotes plant-based foods, and minimizes food waste.",Nature-Based Solutions,Resource Efficiency,NBS-3,policy_traces/055_By_2030_ensure_all_Austinites_can_access_a_community_driven_.json
Austin,56,sub,"By 2030, ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, supports dietary agency, promotes plant-based foods, and minimizes food waste.",standalone parent policy,"Apply a purchasing framework, support supply-chain infrastructure, and build a regional food system network to increase institutional and corporate procurement of pro-climate, pro-health food options.",Mitigation,,,policy_traces/056_Apply_a_purchasing_framework_support_supply_chain_infrastruc.json
Austin,57,sub,"By 2030, ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, supports dietary agency, promotes plant-based foods, and minimizes food waste.",standalone parent policy,"Implement community-driven programs to incentivize and promote more affordable and culturally relevant pro-climate, pro-health prepared and retail food choices while minimizing displacement.",Mitigation,Nature-Based Solutions,M-3,policy_traces/057_Implement_community_driven_programs_to_incentivize_and_promo.json
Austin,58,sub,"By 2030, ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, supports dietary agency, promotes plant-based foods, and minimizes food waste.",standalone parent policy,"Develop community-driven programs and tools to equitably engage and empower Austin communities to make affordable and culturally relevant pro-climate, pro-health food choices.",Mitigation,Nature-Based Solutions,M-3,policy_traces/058_Develop_community_driven_programs_and_tools_to_equitably_eng.json
Austin,59,sub,"By 2030, ensure all Austinites can access a community-driven food system that addresses food insecurity, prioritizes regenerative agriculture, supports dietary agency, promotes plant-based foods, and minimizes food waste.",standalone parent policy,"Conduct a food waste root cause analysis and implement changes to increase food waste reduction practices by 50% across single-family, multi-family, and commercial properties.",Mitigation,Nature-Based Solutions,M-3,policy_traces/059_Conduct_a_food_waste_root_cause_analysis_and_implement_chang.json
Austin,60,parent,,standalone parent policy,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",Mitigation,Nature-Based Solutions,M-3,policy_traces/060_By_2030_reduce_greenhouse_gas_emissions_from_institutional_c.json
Austin,61,sub,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",standalone parent policy,Develop a methodology to measure lifecycle greenhouse gas emissions and other impacts from non-residential purchasing and establish a baseline for tracking progress.,Adaptation,Resource Efficiency,A-2,policy_traces/061_Develop_a_methodology_to_measure_lifecycle_greenhouse_gas_em.json
Austin,62,sub,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",standalone parent policy,Strengthen the City of Austin's Sustainable Procurement Program to serve as a local and national model.,Mitigation,,,policy_traces/062_Strengthen_the_City_of_Austins_Sustainable_Procurement_Progr.json
Austin,63,sub,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",standalone parent policy,"Recruit at least 50% of local large institutional purchasers and at least 2,500 local organizations to adopt environmental and social sustainability procurement standards or guidelines.",Mitigation,,,policy_traces/063_Recruit_at_least_50_of_local_large_institutional_purchasers_.json
Austin,64,sub,"By 2030, reduce greenhouse gas emissions from institutional, commercial, and government purchasing by at least 50%.",standalone parent policy,"Expand the City of Austin's Circular Economy Program to reduce consumption, support internal reuse and sharing, and support circular organizations and youth engagement.",Mitigation,Nature-Based Solutions,M-3,policy_traces/064_Expand_the_City_of_Austins_Circular_Economy_Program_to_reduc.json
Austin,65,parent,,standalone parent policy,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",Mitigation,Nature-Based Solutions,M-3,policy_traces/065_Aggressively_pursue_waste_reduction_organics_composting_and_.json
Austin,66,sub,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",standalone parent policy,"Implement consumer awareness campaigns promoting reuse, repair, and the waste management hierarchy, including reuse challenges, Fix-It clinics, and the Austin Reuse Directory.",Mitigation,Nature-Based Solutions,M-3,policy_traces/066_Implement_consumer_awareness_campaigns_promoting_reuse_repai.json
Austin,67,sub,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",standalone parent policy,"Create equitably distributed neighborhood Eco-hubs that provide borrowing, reuse, and repair services.",Resource Efficiency,Adaptation,RE-2,policy_traces/067_Create_equitably_distributed_neighborhood_Eco_hubs_that_prov.json
Austin,68,sub,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",standalone parent policy,"Offer a workforce development program for repair and reuse skills, job placement, and entrepreneurship in local circular businesses, prioritizing low-income communities, youth, and communities of color.",Resource Efficiency,Nature-Based Solutions,RE-3,policy_traces/068_Offer_a_workforce_development_program_for_repair_and_reuse_s.json
Austin,69,sub,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",standalone parent policy,"Offer financial incentives such as point-of-sale rebates or a sales tax holiday for products, repair services, and rentals with lower environmental and social impacts, including alternatives to single-use plastics.",Resource Efficiency,Nature-Based Solutions,RE-3,policy_traces/069_Offer_financial_incentives_such_as_point_of_sale_rebates_or_.json
Austin,70,sub,"Aggressively pursue waste reduction, organics composting, and recycling to achieve the waste reduction goals in the 2023 Austin Resource Recovery Comprehensive Plan.",standalone parent policy,"Review and modify bulky item collection policies and programs so viable items are resold, repaired, or recycled.",Mitigation,Nature-Based Solutions,M-3,policy_traces/070_Review_and_modify_bulky_item_collection_policies_and_program.json
Austin,71,parent,,standalone parent policy,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas, about 70,000 acres total, for resilience.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/071_By_2030_legally_protect_an_additional_20000_acres_of_carbon_.json
Austin,72,sub,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas, about 70,000 acres total, for resilience.",standalone parent policy,"Identify and legally protect additional woodland, grassland, and wetland systems, especially in eastern Travis County, prioritizing benefits for low-income communities and communities of color.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/072_Identify_and_legally_protect_additional_woodland_grassland_a.json
Austin,73,sub,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas, about 70,000 acres total, for resilience.",standalone parent policy,"Prepare natural lands for climate change and avoid catastrophic carbon loss through active, intentional, and holistic management.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/073_Prepare_natural_lands_for_climate_change_and_avoid_catastrop.json
Austin,74,sub,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas, about 70,000 acres total, for resilience.",standalone parent policy,Ensure natural lands are accessible to and positively perceived by the community so they provide greater community value and support for conservation and stewardship.,Nature-Based Solutions,Adaptation,NBS-1,policy_traces/074_Ensure_natural_lands_are_accessible_to_and_positively_percei.json
Austin,75,sub,"By 2030, legally protect an additional 20,000 acres of carbon pools on natural lands and manage all new and existing natural areas, about 70,000 acres total, for resilience.",standalone parent policy,"Protect the quantity and quality of source water for municipal supply and environmental flows against climate-driven threats such as heat, drought, flood, and wildfire.",Adaptation,,,policy_traces/075_Protect_the_quantity_and_quality_of_source_water_for_municip.json
Austin,76,parent,,standalone parent policy,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/076_By_2030_protect_500000_acres_of_farmland_from_development_in.json
Austin,77,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,"Identify prime and locally significant farmlands in the five-county region and protect them from development through bonds, land trusts, conservation easements, and similar methods.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/077_Identify_prime_and_locally_significant_farmlands_in_the_five.json
Austin,78,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,Address local and federal agricultural tax appraisal and exemption issues that contribute to desertification and soil loss.,Nature-Based Solutions,,,policy_traces/078_Address_local_and_federal_agricultural_tax_appraisal_and_exe.json
Austin,79,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,"Support farmers in the five-county region, especially farmers of color, with direct financial assistance to implement carbon-related soil programs or regenerative agriculture practices.",Nature-Based Solutions,Resource Efficiency,NBS-3,policy_traces/079_Support_farmers_in_the_five_county_region_especially_farmers.json
Austin,80,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,"Support farmers starting regenerative agriculture by providing access to land and other resources, prioritizing farmers of color.",Nature-Based Solutions,Resource Efficiency,NBS-3,policy_traces/080_Support_farmers_starting_regenerative_agriculture_by_providi.json
Austin,81,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,Expand the use of compost generated by local composting programs.,Mitigation,Nature-Based Solutions,M-3,policy_traces/081_Expand_the_use_of_compost_generated_by_local_composting_prog.json
Austin,82,sub,"By 2030, protect 500,000 acres of farmland from development in the five-county region through legal protections or regenerative agriculture programs.",standalone parent policy,"Create and support agriculture-specific job creation and youth programs to drive a generational shift in farming, especially for aspiring farmers of color.",Nature-Based Solutions,,,policy_traces/082_Create_and_support_agriculture_specific_job_creation_and_you.json
Austin,83,parent,,standalone parent policy,"Achieve at least 50% citywide tree canopy cover by 2050, with an equitable focus on increasing canopy cover.",Nature-Based Solutions,Adaptation,NBS-1,policy_traces/083_Achieve_at_least_50_citywide_tree_canopy_cover_by_2050_with_.json
Austin,84,sub,"Achieve at least 50% citywide tree canopy cover by 2050, with an equitable focus on increasing canopy cover.",standalone parent policy,Adopt a no net loss policy for tree canopy on public lands.,Nature-Based Solutions,Adaptation,NBS-1,policy_traces/084_Adopt_a_no_net_loss_policy_for_tree_canopy_on_public_lands.json
